Magnet	RxFromY	RyFromZ	RzFromX	SufficientData	roll	pitch	yaw	dpsi	dphi	dtheta
DIP0	-89.987700000000	-179.999100000000	94.109700000000	True	0.012300000000	0.000900000000	4.109700000000	0.214675497995	0.015707963268	71.727796269211
DIP1	-89.998500000000	-179.998200000000	140.536200000000	True	0.001500000000	0.001800000000	-39.463800000000	0.026179938780	0.031415926536	-688.773245348538
DIP2	-89.959100000000	179.995400000000	83.517900000000	True	0.040900000000	-0.004600000000	-6.482100000000	0.713839664066	-0.080285145592	-113.133987443524
DIP3	-89.989900000000	179.997500000000	75.933100000000	True	0.010100000000	-0.002500000000	-14.066900000000	0.176278254451	-0.043633231300	-245.513720548790
DIP4	-89.950700000000	-179.998900000000	91.260200000000	True	0.049300000000	0.001100000000	1.260200000000	0.860447321233	0.019198621772	21.994639233633
DIP5	-89.958700000000	179.993900000000	81.656400000000	True	0.041300000000	-0.006100000000	-8.343600000000	0.720820981074	-0.106465084372	-145.623291469399
DIP6	-89.993000000000	-179.999600000000	93.466300000000	True	0.007000000000	0.000400000000	3.466300000000	0.122173047640	0.006981317008	60.498347861880
DIP7	-90.007200000000	179.993900000000	-49.748000000000	True	-0.007200000000	-0.006100000000	40.252000000000	-0.125663706144	-0.106465084372	702.529930512758
DIP8	-89.990500000000	-179.996400000000	110.571100000000	True	0.009500000000	0.003600000000	20.571100000000	0.165806278940	0.062831853072	359.033425757006
DIP9	-89.997300000000	179.998700000000	64.375300000000	True	0.002700000000	-0.001300000000	-25.624700000000	0.047123889804	-0.022689280276	-447.235384835791
