magnet	S_start	S_end	S_centre	angle	offset_centre	offset_corrected
Dipole 0	-5.180000000000	0.000000000000	-2.590000000000	-0.204165442949	0.494052411074	0.406144781791
QD 0	3.031500000000	3.770500000000	3.401000000000	-0.091038754596	4.076862047456	0.165656863263
QF 0	4.485000000000	5.207000000000	4.846000000000	0.083875146229	4.043767177632	0.034320534759
QC 0	10.758500000000	11.141500000000	10.950000000000	0.613797875773	3.612695247958	-0.788677813415
Dipole 1	11.156282000000	16.336282000000	13.746282000000	-0.483619196477	0.647951860890	-0.328423380238
QD 1	19.367782000000	20.106782000000	19.737282000000	0.111841866653	0.896258568983	-3.971297758871
QF 1	20.821282000000	21.543282000000	21.182282000000	0.101575826099	1.363716041215	-3.566149177045
Dipole 2	27.492564000000	32.672564000000	30.082564000000	-0.700148261872	0.952886519568	-0.852104589040
QD 2	35.704064000000	36.443064000000	36.073564000000	0.085854573575	5.301519997290	0.024855575402
QF 2	37.157564000000	37.879564000000	37.518564000000	-0.079334805254	5.173063196834	-0.106177668284
QC 2	43.431064000000	43.814064000000	43.622564000000	-0.201444591743	5.343155781228	0.115646071531
Dipole 3	43.828846000000	49.008846000000	46.418846000000	0.120729669043	2.307418428439	0.050166302018
QD 3	52.040346000000	52.779346000000	52.409846000000	-0.136551438315	5.121540460174	0.139276384452
QF 3	53.493846000000	54.215846000000	53.854846000000	0.257293144005	5.003555508886	0.079431550877
QC 3	59.767346000000	60.150346000000	59.958846000000	-0.201954933486	4.404135994998	-0.226032959157
Dipole 4	60.165128000000	65.345128000000	62.755128000000	0.614756819234	3.574208821860	1.413798868430
QD 4	68.376628000000	69.115628000000	68.746128000000	0.209550772726	3.921425931195	-0.175380286777
QF 4	69.830128000000	70.552128000000	70.191128000000	-0.128682301361	3.888545208798	-0.111611879903
Dipole 5	76.501410000000	81.681410000000	79.091410000000	-0.424149392857	0.967145443899	-0.584309565159
QD 5	84.712910000000	85.451910000000	85.082410000000	0.209867771011	3.031963035104	0.073457372352
QF 5	86.166410000000	86.888410000000	86.527410000000	-0.216655485839	2.909973776201	0.049709570999
QC 5	92.439910000000	92.822910000000	92.631410000000	-0.187847201209	2.228896817653	-0.239440976087
Dipole 6	92.837692000000	98.017692000000	95.427692000000	-0.168699101588	0.148051285353	-0.514936104626
QD 6	101.049192000000	101.788192000000	101.418692000000	-0.179437209284	0.834474669365	-1.167679873742
QF 6	102.502692000000	103.224692000000	102.863692000000	0.113753600939	0.933447505739	-1.006398150113
QC 6	108.776192000000	109.159192000000	108.967692000000	-0.340394346296	1.958862679930	0.229269246043
Dipole 7	109.173974000000	114.353974000000	111.763974000000	-0.260145408061	0.055497310609	0.221125773744
QD 7	117.385474000000	118.124474000000	117.754974000000	-0.262432490308	1.036374453282	-0.556672036985
QF 7	118.838974000000	119.560974000000	119.199974000000	0.133751279982	1.885270398634	0.294800347630
QC 7	125.112474000000	125.495474000000	125.303974000000	0.975896787476	1.028518944962	-0.613682278069
Dipole 8	125.510256000000	130.690256000000	128.100256000000	-0.109453947842	-1.012008061936	-0.394118611469
QD 8	133.721756000000	134.460756000000	134.091256000000	0.368294995444	1.940888850814	0.053441971743
QF 8	135.175256000000	135.897256000000	135.536256000000	0.451301231372	2.053842832000	0.108255831948
QC 8	141.448756000000	141.831756000000	141.640256000000	-0.328049868108	1.856049296487	-0.383492719677
Dipole 9	141.846538000000	147.026538000000	144.436538000000	-0.105637940513	0.061609282023	0.582656524549
QD 9	150.058038000000	150.797038000000	150.427538000000	0.081673881080	2.620178319096	-0.152726445519
QF 9	151.511538000000	152.233538000000	151.872538000000	0.278331649438	2.687044521706	-0.182509373501
QC 9	157.785038000000	158.168038000000	157.976538000000	-0.255529678983	2.295946424831	-0.997505502905
